Letter,Category,Probability
A,train,1.6630554084458987e-13
A,train,1.757380252063144e-14
A,train,5.0742272866568376e-26
A,train,1.5981514073509332e-18
A,train,1.6470931530230214e-15
A,train,5.020675715450285e-13
A,train,8.995902828402456e-16
A,train,2.2025021515371225e-20
A,train,4.409047148318098e-21
A,train,8.821902084711619e-13
A,train,8.390105070028864e-21
A,train,7.947441465484385e-21
A,train,8.495700226895638e-16
A,train,6.213466718918426e-08
A,train,9.681553336804427e-10
A,train,4.224607278248297e-21
A,train,6.113531913766074e-23
A,train,1.864138777337027e-22
A,train,2.9531690824948136e-21
A,train,3.297780078554256e-21
A,train,1.9019394843704736e-18
A,train,5.344199041634745e-12
A,train,4.118598105077231e-21
A,train,5.014648962742285e-08
A,train,3.938573859413319e-12
A,train,2.327122050616026e-09
A,train,1.707296947290006e-24
A,train,6.566948336159214e-23
A,train,2.401487212214115e-13
A,train,1.2222174644851302e-18
A,train,2.604487633978621e-25
A,train,2.689966152792265e-15
A,train,3.6106552851947866e-16
A,train,1.3545063345458613e-21
A,train,6.002310730283326e-23
A,train,7.354664793846055e-11
A,train,3.6784191279970804e-14
A,train,2.615654817305496e-13
A,train,2.263806938192064e-21
A,train,3.0359606529647085e-21
A,train,1.2528751255249239e-15
A,train,2.1315794181825387e-14
A,train,1.8818741829732112e-20
A,train,1.0768129443672336e-10
A,train,1.061330859894287e-13
A,train,7.885407482684757e-15
A,train,3.432048625399385e-24
A,train,2.5072766779432598e-11
A,train,1.4867688597794026e-25
A,train,1.2306078898960404e-11
A,train,1.7467804832036e-21
A,train,3.075747353803977e-20
A,train,4.635839272410045e-15
A,train,3.954903020041465e-19
A,train,9.886600813933735e-21
A,train,6.629766858114519e-14
A,train,8.502579890157236e-11
A,train,3.009414107730603e-23
A,train,2.538783627770158e-10
A,train,1.3547635540798412e-15
A,train,4.165559749547152e-20
A,train,1.404469096949474e-25
A,train,2.560641393942137e-23
A,train,4.524478274192732e-23
A,train,1.1046495809194477e-17
A,train,2.875327454837607e-17
A,train,1.579444131039054e-08
A,train,1.6194081590230016e-20
A,train,1.797937443953135e-21
A,train,1.1288312484073825e-20
A,train,1.295172139262541e-16
A,train,6.968632184301852e-20
A,train,9.495915338775252e-12
A,train,4.192955363974146e-17
A,train,6.675562325142437e-10
A,train,3.0005498086183024e-10
A,train,2.069722376440029e-20
A,train,6.747511813917825e-19
A,train,9.83744561249512e-18
A,train,5.415746739956262e-10
A,train,1.0184610401064436e-20
A,train,1.4012448146250023e-10
A,train,3.68744578870938e-14
A,train,8.727667429059782e-19
A,train,5.369767023479862e-18
A,train,1.572529074286797e-17
A,train,1.4796111522956793e-18
A,train,2.594196954946109e-16
A,train,9.320325406600863e-21
A,train,9.09889081259723e-23
A,train,5.36851487882761e-19
A,train,9.933472833707403e-22
A,train,8.777589225293386e-25
A,train,1.39187316186562e-11
A,train,2.093927749114862e-20
A,train,4.912130853627101e-25
A,train,1.4457716070264412e-18
A,train,9.20826457619095e-13
A,train,6.679205565378669e-21
A,train,3.0937687003768318e-24
A,train,4.442498797578837e-18
A,train,2.403706985451199e-19
A,train,2.8971153402513225e-25
A,train,2.4771601634035745e-21
A,train,2.6059618720065568e-15
A,train,1.1841445329179376e-17
A,train,3.2166592271291977e-21
A,train,3.318862925368732e-13
A,train,1.4833240558727001e-18
A,train,4.7227946837615344e-26
A,train,1.3694931261603484e-17
A,train,6.993702891294992e-17
A,train,3.126415979108486e-18
A,train,9.446735452834067e-17
A,train,1.4293033457593054e-19
A,train,6.20476091940127e-16
A,train,1.942108149646793e-12
A,train,5.077587403690848e-22
A,train,4.802629367196212e-24
A,train,3.432216172968062e-18
A,train,2.8097529077481853e-22
A,train,5.129562908603745e-24
A,train,4.18166890003846e-10
A,train,1.791585835837657e-19
A,train,8.574993669425104e-21
A,train,4.517569044158507e-20
A,train,4.760872343544372e-18
A,train,1.6352663735786376e-23
A,train,1.1640192976170027e-10
A,train,5.402498449145511e-14
A,train,3.356263040331462e-20
A,train,4.441724332088226e-12
A,train,2.218114754370948e-11
A,train,5.688109420925455e-20
A,train,2.546981451700264e-13
A,train,4.204400726067918e-20
A,train,1.2884338412066712e-19
A,train,2.4038505357809083e-14
A,train,2.624898140575374e-15
A,train,3.403754914682613e-17
A,train,8.391394728614365e-19
A,train,3.661184718025887e-15
A,train,2.4814541920570693e-21
A,train,9.206534934912657e-15
A,train,1.0727179490588134e-20
A,train,2.6259014143177088e-21
A,train,8.696957314842985e-19
A,train,1.1334457542455309e-13
A,train,2.5955080307227263e-09
A,train,8.755163542700027e-22
A,train,1.926981343439751e-18
A,train,9.815604058716065e-12
A,train,6.769949873854908e-17
A,train,3.0474566199391795e-15
A,train,2.4114491374907537e-19
A,train,2.7368083271268754e-18
A,train,8.435964105046878e-07
A,train,1.8639798765472008e-17
A,train,4.4481043848243473e-10
A,train,9.773874029459943e-22
A,train,1.3246454599880053e-08
A,train,6.660721666584016e-17
A,train,9.336565092636032e-26
A,train,3.5297917195750925e-21
A,train,2.4972715041873914e-16
A,train,1.5162441650756671e-16
A,train,8.830700319145177e-22
A,train,1.1223988405362206e-09
A,train,3.144557148541025e-20
A,train,1.904314361268144e-17
A,train,1.0493626367152897e-12
A,train,1.3520716891637313e-18
A,train,6.965739120109448e-19
A,train,1.5168920129314187e-16
A,train,1.273424453992339e-13
A,train,6.711659845751725e-16
A,train,4.081243264349166e-13
A,train,8.51167493223873e-20
A,train,6.683421239671757e-18
A,train,5.340083647198397e-19
A,train,2.8445889043485493e-21
A,train,2.4804440138898603e-19
A,train,1.6128944558002734e-24
A,train,2.7195476773322902e-11
A,train,6.111684836341129e-17
A,train,1.3794364596089585e-21
A,train,1.4716886043153465e-10
A,train,1.806220104804721e-22
A,train,7.869326244543779e-16
A,train,3.0914977127722965e-20
A,train,3.3235103716130275e-18
A,train,1.3462538028807813e-10
A,train,8.738455292700564e-09
A,train,7.485961382547749e-18
A,train,4.886016480298849e-09
A,train,1.632988299794363e-19
A,train,9.135626638692855e-21
A,train,1.867290718415492e-23
A,train,3.170157918557556e-16
A,train,5.422036007999785e-23
A,train,4.900940763078928e-24
A,train,4.048478674696654e-17
A,train,2.4098606818809528e-17
A,train,3.1793877189464307e-15
A,train,5.0279242955846665e-19
A,train,5.113845096774198e-20
A,train,2.8802287565222208e-21
A,train,4.523443506023557e-15
A,train,3.338999328583083e-19
A,train,6.500146553661139e-18
A,train,3.1810294398582073e-09
A,train,1.7860900153341636e-22
A,train,6.368912153220663e-08
A,train,1.9576589318485746e-22
A,train,1.93805926862467e-09
A,train,1.1039920550505293e-18
A,train,1.4270905568380954e-09
A,train,5.406109045667795e-13
A,train,8.952924219494456e-19
A,train,3.803498585964321e-13
A,train,1.1235488381189368e-17
A,train,3.406250617852359e-16
A,train,8.333977020369762e-18
A,train,1.3361432288003499e-15
A,train,1.3664289606896733e-26
A,train,7.02338792597665e-22
A,train,2.3029731137857654e-24
A,train,2.257711706477039e-08
A,train,4.074115697583203e-11
A,train,7.079994143038837e-12
A,train,5.2507706516102814e-11
A,train,1.813320937010677e-18
A,train,4.3089208125776753e-19
A,train,3.0735656649383686e-20
A,train,6.833339304998358e-16
A,train,7.548516853364173e-22
A,train,4.942450151246398e-17
A,train,2.9479584463636133e-13
A,train,9.769728835607935e-16
A,train,4.07720142370227e-11
A,train,1.299664992597191e-14
A,train,1.8951060485968934e-22
A,train,9.941714210249266e-19
A,train,6.676262875870975e-10
A,train,1.414793072700871e-18
A,train,1.232616081212505e-19
A,train,1.1686784933744939e-20
A,train,1.1015762126792571e-20
A,train,1.3245409883878892e-17
A,train,3.774331958084076e-09
A,train,1.443697016047154e-14
A,train,1.1502136410596796e-19
A,train,8.345480130010049e-21
A,train,2.1964325181550102e-23
A,train,7.01852949337788e-25
A,train,9.499503410349771e-23
A,train,2.937282408362072e-21
A,train,3.68333267791563e-22
A,train,7.278564869104166e-19
A,train,4.0461030119774016e-16
A,train,2.404945043110729e-08
A,train,6.184587909782471e-21
A,train,2.5908478183252486e-21
A,train,1.1993499789029194e-19
A,train,1.0759712565366897e-10
A,train,1.2541246350640878e-20
A,train,1.0329237573882397e-17
A,train,1.4053737861199706e-19
A,train,2.064797271053043e-24
A,train,7.733898812681426e-21
A,train,7.053344193100385e-24
A,train,4.432056388559147e-10
A,train,4.347494209094978e-17
A,train,9.601432124015774e-17
A,train,1.6180107600960447e-11
A,train,1.8310679849534856e-13
A,train,5.244085774741988e-22
A,train,4.807980727959682e-13
A,train,5.80209545217254e-18
A,train,2.0949877642677424e-15
A,train,4.8122572593456425e-09
A,train,3.336011209029849e-13
A,train,7.002573417365333e-15
A,train,6.831667935351671e-13
A,train,3.104894824065e-16
A,train,7.861595627537866e-21
A,train,9.577498314736043e-19
A,train,1.30107290247254e-19
A,train,1.1994314430552322e-09
A,train,2.0069970552646796e-16
A,train,1.3796128537743222e-17
A,train,1.0715808988339798e-20
A,train,3.072426877957366e-21
A,train,2.8972461073885527e-19
A,train,7.691916973213659e-20
A,train,4.588224860453529e-18
A,train,2.9666420431340157e-08
A,train,1.2393791378180843e-16
A,train,4.0243933185912795e-11
A,train,1.4561808874366933e-21
A,train,4.198781362464479e-17
A,train,7.78215953057087e-23
A,train,1.5243968820084082e-18
A,train,4.52365154796406e-22
A,train,5.632376787190196e-10
A,train,1.4182701020548638e-11
A,train,1.448814287512141e-17
A,train,1.2441637306968066e-23
A,train,2.6010257875064323e-15
A,train,1.785447622233215e-24
A,train,1.9334072121068857e-09
A,train,4.3317636636872685e-19
A,train,8.208034603118277e-16
A,train,6.670710782379267e-18
A,train,7.963208000991151e-13
A,train,3.0553029670026504e-22
A,train,9.384578922502907e-21
A,train,4.9404346898683656e-24
A,train,6.200238822254116e-17
A,train,3.465187435020109e-16
A,train,8.246704304138396e-15
A,train,2.1211798262990483e-22
A,train,1.0980185944503562e-12
A,train,1.1876670437047099e-12
A,train,6.225754200865049e-20
A,train,1.0503484366986005e-11
A,train,3.3030399179272184e-15
A,train,3.6237253381751717e-22
A,train,1.1367292531085182e-22
A,train,2.6024585179907164e-20
A,train,4.787719731095699e-17
A,train,1.923776333605599e-21
A,train,1.0633564972661322e-18
A,train,2.6543787241990746e-13
